art,fem,mar,kid5,phd,ment
0,Men,Married,0,2.52,7
0,Women,Single,0,2.05,6
0,Women,Single,0,3.75,6
0,Men,Married,1,1.1799999,3
0,Women,Single,0,3.75,26
0,Women,Married,2,3.5899999,2
0,Women,Single,0,3.1900001,3
0,Men,Married,2,2.96,4
0,Men,Single,0,4.6199999,6
0,Women,Married,0,1.25,0
0,Men,Single,0,2.96,14
0,Women,Single,0,.755,13
0,Women,Married,1,3.6900001,3
0,Women,Married,0,3.4000001,4
0,Women,Married,0,1.79,0
0,Women,Single,0,3.0899999,1
0,Women,Married,0,2,7
0,Men,Married,2,4.29,13
0,Women,Single,0,3.3599999,7
0,Women,Single,0,4.29,9
0,Women,Married,0,2.26,6
0,Men,Married,3,2.96,3
0,Men,Married,1,4.29,5
0,Men,Married,1,2.8599999,4
0,Men,Married,3,2.76,1
0,Women,Married,0,1.52,3
0,Women,Married,1,3.54,8
0,Men,Married,1,4.29,3
0,Women,Single,0,3.0899999,0
0,Men,Married,0,2.3199999,3
0,Women,Single,0,2.3900001,0
0,Men,Married,0,4.29,8
0,Women,Single,0,1.505,13
0,Men,Single,0,2.0999999,0
0,Men,Married,1,1.52,0
0,Women,Single,0,2,0
0,Women,Single,0,1.75,0
0,Men,Single,0,4.29,9
0,Men,Married,1,1.22,2
0,Women,Married,0,3.75,5
0,Men,Single,0,4.29,9
0,Women,Married,1,2.8599999,3
0,Men,Single,0,3.9200001,5
0,Women,Married,1,3.3599999,3
0,Men,Single,0,2.0999999,6
0,Men,Married,1,1.1799999,0
0,Men,Married,0,2.5,1
0,Men,Married,0,3.3599999,25
0,Women,Single,0,4.54,14
0,Women,Married,0,3.9200001,8
0,Men,Single,0,4.54,5
0,Women,Married,2,1.97,0
0,Men,Married,2,2.96,12
0,Men,Married,0,4.29,8
0,Men,Married,1,2.26,2
0,Women,Single,0,2.1199999,11
0,Women,Single,0,3.21,2
0,Men,Married,1,3.1500001,1
0,Men,Married,1,3.9200001,1
0,Men,Single,0,2.96,0
0,Women,Single,0,2.8599999,6
0,Men,Married,1,2.0999999,0
0,Women,Single,0,3.75,4
0,Women,Married,0,3.54,2
0,Women,Married,0,2.54,1
